"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"AC090527.2",0,4,1,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0
"AC090527.3",8,8,7,64,9,5,27,9,9,1,19,6,5,9,6,7,17,2,9,2
"AC090531.1",0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0
"AC090539.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090539.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090541.1",1,2,0,0,0,0,3,0,0,0,1,1,2,0,0,0,0,0,9,0
"AC090543.1",1,2,2,3,1,3,4,1,0,0,2,2,0,6,0,2,0,0,37,1
"AC090543.2",9,16,5,7,14,12,13,10,8,6,2,39,4,9,0,28,7,12,25,4
"AC090559.1",45,315,55,162,475,39,68,66,45,49,397,12,119,84,94,59,7,215,469,90
"AC090559.2",0,0,1,1,0,1,1,1,1,3,0,5,1,4,0,2,0,0,40,0
"AC090568.1",15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"AC090572.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090572.2",0,0,0,0,0,4,7,0,0,2,1,0,0,0,0,1,2,0,0,0
"AC090572.3",0,1,0,1,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0
"AC090574.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090578.1",261,1,0,7,2,7,4,3,2,1,6,0,1,0,2,0,0,2,19,1
"AC090578.2",1,1,0,0,1,0,23,1,2,3,1,1,1,0,0,1,4,0,0,0
"AC090579.1",19,23,22,12,7,15,4,18,17,2,14,26,4,14,5,10,12,8,0,7
"AC090587.1",25,37,16,7,19,5,5,21,9,11,16,10,4,12,9,7,9,17,2,8
"AC090587.2",23,18,4,12,19,3,2,10,16,0,10,6,0,5,4,5,0,6,1,4
"AC090589.1",7,9,97,10,8,6,5,8,5,85,12,29,8,8,0,12,8,6,9,4
"AC090589.2",1,3,1,0,2,1,9,3,0,2,1,1,2,2,2,0,1,1,39,1
"AC090589.3",84,111,41,55,86,62,91,96,48,22,106,26,34,66,52,36,34,41,97,30
"AC090592.1",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"AC090602.1",9,7,2,4,1,1,6,2,6,0,1,5,4,4,4,18,0,4,3,1
"AC090607.1",16,11,3,7,2,0,8,7,4,0,10,1,2,2,6,6,0,17,3,4
"AC090607.2",67,86,23,57,55,38,83,35,58,16,95,7,46,58,57,29,10,28,17,7
"AC090607.3",0,2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
"AC090607.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090607.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC090615.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090616.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090616.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
"AC090616.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"AC090616.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"AC090616.5",0,6,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,5,0,0
"AC090616.6",23,68,30,17,82,36,35,63,34,28,55,36,22,78,74,18,11,32,93,16
"AC090617.1",0,0,1,0,2,0,1,1,0,0,1,1,1,0,0,0,0,0,26,0
"AC090617.2",0,0,0,1,3,0,3,1,2,0,3,0,1,0,2,0,1,2,10,0
"AC090617.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090617.4",2,6,1,0,4,0,3,1,0,2,4,3,2,2,4,0,2,4,44,0
"AC090617.5",24,67,74,63,63,38,43,75,73,14,75,27,47,75,40,12,69,49,49,23
"AC090617.6",1,5,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,9,0
"AC090617.7",1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,17,0
"AC090617.8",0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,2,0,0
"AC090617.9",3,6,1,1,5,4,4,0,5,1,4,0,0,4,4,2,1,2,0,2
"AC090618.1",0,0,0,2,2,1,2,1,8,1,4,2,1,0,0,1,3,1,0,1
"AC090621.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090625.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC090625.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC090630.1",6,3,0,0,5,0,1,2,0,0,2,0,0,2,1,0,0,6,0,1
"AC090643.1",0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,5,0
"AC090643.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC090651.1",1,0,0,0,0,0,0,2,1,0,0,0,3,1,0,1,0,0,9,0
"AC090666.1",10,8,0,1,2,0,3,3,2,0,3,0,3,1,3,0,0,6,24,2
"AC090673.1",32,424,4,59,23,23,64,7,18,2,147,41,23,126,22,42,36,70,200,63
"AC090673.2",0,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,8,0
"AC090679.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090680.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090686.1",2,1,10,5,4,6,1,3,3,1,5,6,5,6,0,18,0,3,0,0
"AC090692.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC090695.1",33,28,1,13,6,10,38,10,9,8,19,0,17,20,5,30,0,7,105,8
"AC090696.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090699.1",1,0,1,0,0,0,0,1,0,0,1,4,0,1,0,1,0,0,6,0
"AC090707.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC090709.1",0,2,0,0,2,0,6,0,9,0,0,0,0,0,0,5,0,0,72,1
"AC090720.1",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"AC090735.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090739.1",44,44,15,20,20,25,43,34,25,2,36,30,21,25,35,19,8,20,133,9
"AC090740.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC090751.1",0,1,0,1,3,1,2,1,3,0,2,1,1,2,1,0,0,0,4,0
"AC090753.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090771.1",0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"AC090771.2",0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0
"AC090772.1",24,20,11,8,6,4,20,9,5,4,8,3,2,9,2,6,0,0,17,2
"AC090772.2",1,0,1,2,1,1,5,0,0,0,4,1,0,1,1,0,0,0,36,0
"AC090772.3",113,49,121,32,34,33,305,131,93,56,47,48,27,102,39,19,57,46,59,33
"AC090772.4",183,148,293,53,131,176,361,171,127,151,63,229,121,163,40,37,156,62,11,79
"AC090774.1",0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0
"AC090774.2",0,0,0,0,0,2,0,0,0,2,1,1,2,0,4,0,7,2,0,0
"AC090791.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090796.1",0,0,0,0,0,0,2,0,62,0,0,0,1,0,0,0,0,0,0,0
"AC090802.1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"AC090809.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090819.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090820.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090821.1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"AC090821.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090825.1",14,37,6,17,14,10,62,74,11,17,73,4,26,20,11,10,3,66,12,22
"AC090825.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090826.1",1,14,0,7,2,2,9,11,8,0,8,4,22,2,8,3,6,4,2,3
"AC090826.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090833.1",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"AC090844.1",0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0
"AC090844.2",19,30,13,11,18,3,183,48,4,10,19,11,11,21,15,14,3,16,207,10
"AC090844.3",0,0,0,2,0,0,53,0,1,1,2,4,0,1,3,0,1,0,7,0
"AC090857.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090857.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"AC090877.1",0,1,3,0,0,3,6,1,3,1,0,0,6,3,0,0,1,4,6,1
"AC090877.2",11,10,1,14,4,1,1,2,30,0,13,5,2,2,3,1,1,7,4,5
"AC090888.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090888.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090888.3",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,0
"AC090897.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090907.1",29,6,13,8,14,9,17,29,15,6,12,15,5,35,20,10,8,7,16,3
"AC090907.2",7,6,3,2,9,2,9,20,8,3,10,4,3,10,4,4,3,2,0,1
"AC090912.1",24,18,22,21,8,3,21,26,32,6,23,19,14,15,11,3,2,42,16,6
"AC090912.2",13,12,21,5,7,2,11,23,8,6,12,12,6,6,4,16,7,28,7,7
"AC090912.3",6,7,4,1,9,2,8,4,4,3,8,3,2,11,3,4,4,11,15,3
"AC090921.1",2,6,0,0,15,3,0,4,5,5,6,2,2,1,3,0,2,10,12,3
"AC090948.1",11,34,6,19,66,17,29,24,13,41,28,11,7,19,12,13,7,13,103,7
"AC090948.2",17,58,4,25,46,0,40,11,6,10,20,10,29,5,7,12,3,41,105,11
"AC090948.3",22,56,4,17,92,14,34,12,22,48,23,14,38,12,9,14,14,17,48,8
"AC090950.1",2,3,2,2,7,5,8,6,2,5,8,6,1,8,6,1,0,2,82,5
"AC090950.2",1,3,0,5,0,1,5,2,0,0,1,2,0,4,0,1,0,2,81,0
"AC090952.1",0,3,0,0,0,2,0,1,1,0,4,0,0,1,0,2,0,1,4,0
"AC090953.1",1,3,0,1,1,3,4,0,0,1,3,0,1,1,2,2,0,0,17,0
"AC090954.1",0,0,0,0,0,0,0,1,4,0,0,1,5,0,1,0,0,1,0,0
"AC090955.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090957.1",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC090958.1",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC090960.1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,95,0
"AC090970.1",0,1,3,2,8,0,2,2,3,2,2,3,1,1,0,0,0,0,42,2
"AC090970.2",10,7,16,4,4,2,11,16,14,3,4,5,21,3,9,9,7,8,20,14
"AC090971.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090971.2",1,2,0,2,1,7,4,1,0,1,2,1,1,1,1,0,0,0,53,1
"AC090971.3",40,19,33,14,19,33,42,36,26,11,19,12,25,20,14,28,9,5,66,6
"AC090971.4",0,1,1,0,0,0,4,0,0,0,3,1,1,1,1,0,1,1,48,1
"AC090971.5",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC090983.1",6,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"AC090984.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC090985.1",0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0
"AC090987.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC090993.1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC091013.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC091027.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC091027.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091042.1",4,7,5,4,4,2,6,5,7,0,6,8,4,12,3,7,1,2,0,1
"AC091043.1",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC091044.1",0,1,0,1,0,3,1,0,0,0,0,1,0,1,2,1,0,4,11,0
"AC091045.1",14,12,10,18,10,13,12,11,9,7,15,14,22,12,9,13,4,11,23,6
"AC091046.1",0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,34,0
"AC091046.2",1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,9,1
"AC091047.1",0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0
"AC091053.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091053.2",2,8,3,1,3,0,6,0,1,2,5,1,0,3,1,3,0,6,25,2
"AC091057.1",659,312,200,161,150,154,527,85,280,259,299,108,275,495,121,175,16,358,262,96
"AC091057.2",5,7,4,8,1,5,4,11,3,1,11,0,4,7,15,2,4,7,5,3
"AC091057.3",4,2,3,2,3,6,12,2,2,3,8,0,19,3,5,2,1,2,0,4
"AC091057.4",7,11,16,11,11,10,12,5,16,20,17,12,23,15,5,3,3,7,11,5
"AC091059.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"AC091059.2",0,2,1,1,3,0,0,0,0,1,1,2,0,3,4,0,0,1,75,2
"AC091060.1",23,21,8,10,18,17,30,23,18,9,28,4,11,31,9,9,1,22,61,3
"AC091062.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091073.1",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC091076.1",3,0,2,4,8,2,0,1,3,1,1,4,3,0,3,0,0,0,0,1
"AC091078.1",0,3,1,2,2,1,1,1,18,4,4,0,0,0,3,0,2,4,5,12
"AC091078.2",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"AC091078.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC091096.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC091100.1",10,1,3,19,0,1,10,12,3,0,19,1,0,3,9,2,7,10,3,6
"AC091114.1",0,0,0,0,2,1,4,0,0,0,0,1,0,0,0,0,0,4,0,0
"AC091117.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091117.2",0,3,0,1,0,0,2,0,0,1,1,2,1,0,0,0,0,0,11,0
"AC091132.1",2,2,2,1,1,4,1,1,0,1,1,0,3,0,2,1,0,0,0,1
"AC091132.2",3,12,1,4,6,2,9,4,5,8,9,4,7,8,6,5,3,11,14,3
"AC091132.3",4,6,1,3,4,5,6,5,2,1,4,0,3,3,1,2,4,0,14,0
"AC091132.4",10,3,14,13,4,13,17,15,9,5,9,10,24,10,5,6,21,4,7,4
"AC091132.5",1,11,2,3,8,0,2,1,0,2,6,2,7,1,7,6,0,1,1,0
"AC091133.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091133.2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"AC091133.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091133.4",0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
"AC091133.5",6,5,16,6,8,4,0,15,2,8,4,22,8,10,4,3,6,2,1,3
"AC091135.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091138.1",0,0,0,0,5,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0
"AC091144.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC091144.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,0
"AC091151.1",0,0,0,0,0,0,5,0,0,0,0,6,6,0,1,0,3,0,14,3
"AC091152.1",2,2,1,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,19,1
"AC091152.2",18,9,12,5,7,3,33,12,7,0,17,5,33,9,11,11,1,14,0,15
"AC091152.3",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"AC091152.4",21,26,11,10,10,23,7,34,3,0,11,6,6,13,13,7,2,29,4,9
"AC091153.1",31,29,25,19,26,45,19,30,45,11,20,65,31,30,22,72,20,16,3,7
"AC091153.2",0,1,1,2,1,2,3,2,1,4,1,0,0,0,7,3,1,0,12,0
"AC091153.3",12,6,15,4,4,5,5,15,6,6,6,17,3,5,6,0,11,10,2,2
"AC091153.4",2,0,2,0,5,2,0,5,0,1,5,0,2,4,1,0,0,1,0,2
"AC091163.1",0,3,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
"AC091163.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091163.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091167.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091167.2",23,6,12,9,15,12,15,27,15,4,9,6,10,9,11,6,1,10,3,2
"AC091167.3",0,2,2,0,0,0,2,2,0,0,2,1,2,2,0,0,0,0,0,0
"AC091167.4",9,12,5,7,5,6,9,16,13,1,16,10,16,5,8,2,0,8,11,1
"AC091167.5",6,3,2,3,2,0,6,5,4,4,4,3,6,4,2,1,5,2,3,0
"AC091167.6",6,2,6,0,0,2,0,3,3,0,2,0,0,0,4,1,0,0,1,1
"AC091170.1",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"AC091173.1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"AC091175.1",4,2,0,3,1,0,3,1,1,1,0,4,0,0,2,1,0,1,0,3
"AC091178.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"AC091179.1",1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1
"AC091179.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091180.1",0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0
"AC091180.2",6,59,5,8,14,1,30,19,2,6,10,3,4,10,12,5,4,8,135,2
"AC091180.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091180.4",6,23,1,6,5,2,18,10,4,6,12,0,3,1,6,4,3,0,0,0
"AC091180.5",4,38,1,7,12,5,18,22,2,3,7,1,7,8,9,1,3,4,0,2
"AC091181.1",27,27,8,10,6,9,17,26,9,5,18,42,2,14,11,9,1,25,571,10
"AC091182.1",28,62,400,37,61,1810,75,4,145,9,132,6,138,62,54,33,16,126,77,33
"AC091182.2",11,10,4,6,31,7,20,5,8,2,24,25,70,22,6,6,30,0,0,7
"AC091185.1",10,29,8,14,28,11,56,16,10,6,78,0,9,33,34,7,2,10,18,9
"AC091193.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC091198.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091212.1",3,1,0,0,1,2,2,2,0,0,5,0,0,0,0,0,0,3,34,1
"AC091230.1",3,0,3,2,2,0,2,1,6,4,3,57,0,1,0,1,1,0,0,0
"AC091231.1",0,1,0,0,0,1,1,1,4,2,0,0,1,5,1,0,0,0,28,0
"AC091271.1",169,120,85,51,73,96,113,206,43,63,70,141,56,63,80,55,61,163,37,50
"AC091286.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091304.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"AC091304.2",1,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"AC091304.3",0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
"AC091304.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC091304.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091304.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091304.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091305.1",5,2,4,3,6,0,3,2,0,0,0,19,0,0,1,0,0,3,0,0
"AC091390.1",4,13,2,5,3,4,1,6,0,1,2,4,3,1,2,5,3,4,1,4
"AC091390.2",0,7,1,1,0,0,1,6,6,1,0,1,3,4,0,1,5,0,32,0
"AC091390.3",14,31,10,15,12,10,20,18,9,4,25,32,14,13,7,11,20,4,45,7
"AC091390.4",7,20,24,6,31,28,13,5,13,5,19,16,13,10,10,5,23,11,14,6
"AC091393.1",0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,14,0
"AC091429.1",10,8,11,10,4,9,5,9,14,2,6,17,9,10,8,25,5,3,11,3
"AC091435.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091435.2",7,7,0,2,1,2,16,9,0,6,5,0,6,0,3,0,0,1,20,3
"AC091488.1",36,15,19,4,7,4,8,24,14,10,21,9,9,33,15,8,99,1,0,4
"AC091489.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091489.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091492.1",4,3,5,5,6,5,5,8,7,2,4,2,0,6,4,4,0,4,36,1
"AC091493.1",0,0,0,2,10,0,0,0,0,6,2,0,3,0,0,0,0,0,0,0
"AC091515.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091516.1",16,6,4,2,3,0,10,5,0,1,10,0,1,5,9,5,0,6,21,0
"AC091534.1",3,1,0,0,0,0,0,0,0,0,3,1,0,3,4,2,0,0,11,0
"AC091544.1",0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,2,3,1
"AC091544.2",34,25,16,18,15,7,43,14,3,0,58,1,21,51,42,36,0,15,66,2
"AC091544.3",4,4,3,0,3,2,2,2,0,2,1,1,2,2,0,1,0,3,5,0
"AC091544.4",66,51,233,55,91,71,214,113,71,17,169,36,152,157,105,79,50,22,22,13
"AC091544.5",4,7,10,5,3,3,14,8,4,4,8,0,4,11,3,4,0,0,22,1
"AC091544.6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC091544.7",1,1,3,1,0,0,4,1,0,2,0,1,1,1,1,0,0,3,10,1
"AC091551.1",0,5,0,2,0,2,0,2,0,0,3,0,0,3,1,0,0,1,0,0
"AC091563.1",113,419,559,132,232,434,189,737,131,64,287,512,195,1136,826,713,82,191,71,125
"AC091564.1",1,10,0,1,12,0,4,2,0,17,6,7,9,3,1,1,0,3,0,1
"AC091564.2",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091564.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091564.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091564.5",3,8,0,3,4,5,9,1,2,2,3,7,3,2,1,2,4,4,28,1
"AC091564.6",0,1,0,6,0,2,0,3,1,0,3,1,2,0,1,0,3,0,0,1
"AC091588.1",1,1,2,3,4,0,2,1,0,0,1,0,0,5,3,0,0,0,11,0
"AC091588.2",0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0
"AC091588.3",3,9,1,3,1,0,3,4,2,1,12,1,2,6,7,1,0,3,0,2
"AC091607.1",0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,11,0
"AC091614.1",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"AC091675.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091685.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091685.2",4,2,5,1,3,3,4,0,1,0,2,8,8,3,3,9,0,0,6,0
"AC091691.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091691.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091705.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091729.1",4,8,2,9,7,0,4,2,3,0,2,21,2,2,0,1,0,0,57,1
"AC091729.2",3,1,4,2,0,1,1,0,4,0,2,9,0,3,0,3,0,2,0,0
"AC091729.3",336,600,251,127,233,162,370,395,129,119,236,330,216,144,329,136,179,346,106,216
"AC091730.1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091736.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091769.1",0,2,2,1,2,0,6,4,2,1,1,7,1,1,4,4,16,1,24,1
"AC091770.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091799.1",9,19,6,4,5,17,47,26,11,5,7,16,15,4,7,4,0,6,12,2
"AC091804.1",2,6,0,0,1,105,2,2,19,4,1,2,2,0,0,27,0,3,4,0
"AC091805.1",0,2,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,14,0
"AC091805.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091806.1",1,5,1,2,4,3,4,3,2,0,5,2,3,1,0,1,1,4,2,2
"AC091807.1",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
