"","TCGA-C8-A3M8-01A-11R-A213-07","TCGA-A7-A3J1-01A-11R-A213-07","TCGA-BH-A8FY-01A-11R-A36F-07","TCGA-BH-A8FZ-01A-11R-A352-07","TCGA-A2-A0EP-01A-52R-A22U-07","TCGA-OL-A66J-01A-11R-A29R-07","TCGA-EW-A1J3-01A-11R-A13Q-07","TCGA-E2-A14U-01A-11R-A22K-07","TCGA-B6-A40B-01A-11R-A239-07","TCGA-GM-A2DO-01A-11R-A18M-07","TCGA-LL-A440-01A-11R-A24H-07","TCGA-E2-A576-01A-11R-A31O-07","TCGA-E2-A1IH-01A-11R-A13Q-07","TCGA-B6-A0IP-01A-11R-A034-07","TCGA-D8-A4Z1-01A-21R-A266-07","TCGA-AR-A2LE-01A-11R-A180-07","TCGA-WT-AB44-01A-11R-A41B-07","TCGA-AR-A1AK-01A-21R-A12P-07","TCGA-AC-A3QQ-01B-06R-A22O-07","TCGA-E2-A1IJ-01A-11R-A144-07"
"AC002091.2",2,40,5,16,18,9,7,10,1,7,26,2,10,4,1,3,0,20,1,5
"AC002094.1",1,2,0,2,0,2,2,3,0,1,2,0,0,1,2,0,0,8,1,0
"AC002094.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002094.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002094.4",9,5,0,3,2,1,4,4,0,1,0,6,3,4,1,0,0,12,34,0
"AC002094.5",8,8,1,3,4,3,5,13,3,16,5,39,0,9,1,0,3,10,17,1
"AC002101.1",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"AC002115.1",0,1,1,0,1,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0
"AC002116.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002116.2",35,102,65,24,21,30,37,37,53,10,18,47,28,57,26,15,35,18,13,8
"AC002127.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC002127.2",0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"AC002128.1",38,129,49,28,48,28,59,71,109,36,69,49,31,31,48,84,18,22,64,21
"AC002128.2",13,34,3,10,10,160,20,17,15,2,22,18,3,12,20,20,0,9,58,5
"AC002306.1",0,4,0,0,1,1,1,2,0,2,3,2,1,0,0,3,0,3,13,0
